time;cc;earfcn;pci;rsrp;pl;cfo;pci_neigh;rsrp_neigh;cfo_neigh;dl_mcs;dl_snr;dl_turbo;dl_brate;dl_bler;ul_ta;ul_mcs;ul_buff;ul_brate;ul_bler;rf_o;rf_u;rf_l;is_attached
34963;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
35962;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
36961;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
37960;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
38959;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0
39958;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;3.0;144;0.50;0.0;0.0;0.0;22;0.0;0.0;0;0.0;0.0;0.0;0.0
40960;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41953;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
42952;0;3350;1;-6.1;6.1;0.0000015;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
43951;0;3350;1;-6.1;6.1;0.0000015;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
44950;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
45949;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
46948;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
47947;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
48946;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
49945;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
50944;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
51943;0;3350;1;-6.1;6.1;0.0000015;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
52942;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
53941;0;3350;1;-6.1;6.1;0.0000015;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
54940;0;3350;1;-6.1;6.1;0.0000015;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
55939;0;3350;1;-6.1;6.1;0.0000015;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
56938;0;3350;1;-6.1;6.1;0.0000018;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
57937;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
58936;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
59935;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
60934;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
61936;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
62929;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;3.1;144;0.50;603;0;0.0;18;0.0;12713.672852;0;0.0;0.0;0.0;1.0
63928;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;2189.518311;0;0.0;0.0;0.0;1.0
64927;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;2335.403809;0;0.0;0.0;0.0;1.0
65926;0;3350;1;-6.1;6.1;0.0000015;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;7730.841309;0;0.0;0.0;0.0;1.0
66925;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;2078.391846;0;0.0;0.0;0.0;1.0
67924;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;22;0.0;2111.281250;0;0.0;0.0;0.0;1.0
68923;0;3350;1;-6.1;6.1;0.0000015;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;2266.301270;0;0.0;0.0;0.0;1.0
69922;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;2075.263428;0;0.0;0.0;0.0;1.0
70921;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;22;0.0;2311.906006;0;0.0;0.0;0.0;1.0
71920;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;1862.224243;0;0.0;0.0;0.0;1.0
72919;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;1971.401367;0;0.0;0.0;0.0;1.0
73918;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;1957.406494;0;0.0;0.0;0.0;1.0
74917;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;22;0.0;1917.478027;0;0.0;0.0;0.0;1.0
75916;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;1930.004639;0;0.0;0.0;0.0;1.0
76915;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;4657.657715;0;0.0;0.0;0.0;1.0
77917;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;3916.666748;0;0.0;0.0;0.0;1.0
78913;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;5604.335938;0;0.0;0.0;0.0;1.0
79912;0;3350;1;-6.1;6.1;0.0000017;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;22;0.0;2128.666992;0;0.0;0.0;0.0;1.0
80911;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;2310.614502;0;0.0;0.0;0.0;1.0
81910;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;2110.204102;0;0.0;0.0;0.0;1.0
82909;0;3350;1;-6.1;6.1;0.0000016;n/a;n/a;n/a;0.0;144;0.0;0.0;0.0;0.0;22;0.0;2147.455811;0;0.0;0.0;0.0;1.0
83908;0;3350;1;-6.1;6.1;0.0000018;n/a;n/a;n/a;0.0;145;0.0;0.0;0.0;0.0;22;0.0;2386.612793;0;0.0;0.0;0.0;1.0
